GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	Tipo	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...14	riExonStart_0base	riExonEnd	exonStart_0base	exonEnd
ENSG00000173757.11	STAT5B	chr17	-	42210344	42210497	42210402	42210497	42207557	42207728	1225	1,1,3	0,0,0	0,0,0	0,1,1	97	39	0.009006343244	0.1672409906	1.0,1.0,1.0	NA,0.0,0.0	1	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000157087.20	ATP2B2	chr3	-	10331910	10332037	10331982	10332037	10324022	10329125	5991	1,0,1	0,0,0	0,0,0	2,2,3	111	39	0.007813491317	0.1672409906	1.0,NA,1.0	0.0,0.0,0.0	1	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000267374.3	MIR924HG	chr18	-	39784074	39784242	39784099	39784242	39783267	39783339	956	8,1,2	1,0,0	0,0,1	6,2,3	64	39	0.0121281474	0.1851795878	0.83,1.0,1.0	0.0,0.0,0.169	0.887	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000128604.21	IRF5	chr7	+	NA	NA	NA	NA	NA	NA	7701	3,1,9	2,5,6	11,16,5	0,0,0	260	39	0.004208753597	0.1374363104	0.184,0.029,0.184	1.0,1.0,1.0	-0.868	RI	NA	NA	NA	NA	128947022	128947056	128947277	128947535	NA	128947022	128947535	NA	NA
ENSG00000230590.13	FTX	chrX	-	NA	NA	NA	NA	NA	NA	1140	0,0,0	10,2,2	5,0,2	0,0,0	75	39	0.007469858414	0.1739139121	0.0,0.0,0.0	1.0,NA,1.0	-1	SE	NA	NA	NA	NA	74285914	74286170	74292426	74292628	NA	NA	NA	74290394	74290430
ENSG00000178440.9	TIMM23B-AGAP6	chr10	+	NA	NA	NA	NA	NA	NA	79322	0,0,0	2,0,1	2,0,3	0,0,0	109	39	0.008487347	0.1739139	0.0,NA,0.0	1.0,NA,1.0	-1	SE	NA	NA	NA	NA	49958369	49958480	49989307	49989376	NA	NA	NA	49987164	49987234
ENSG00000104324.16	CPQ	chr8	+	NA	NA	NA	NA	NA	NA	110353	0,0,0	2,1,0	2,2,0	0,0,0	179	39	0.008723169	0.1740083	0.0,0.0,NA	1.0,1.0,NA	-1	SE	NA	NA	NA	NA	97055526	97055645	97066008	97066210	NA	NA	NA	97056405	97056545
ENSG00000184428.13	TOP1MT	chr8	-	NA	NA	NA	NA	NA	NA	111622	0,0,0	7,1,1	0,3,1	0,0,0	171	39	0.009296018	0.1745431	0.0,0.0,0.0	NA,1.0,1.0	-1	SE	NA	NA	NA	NA	143332502	143332601	143334739	143334821	NA	NA	NA	143333795	143333927
ENSG00000283199.3	C13orf46	chr13	-	NA	NA	NA	NA	NA	NA	122211	0,0,0	2,4,3	0,7,3	0,0,0	87	39	0.007169022	0.1739139	0.0,0.0,0.0	NA,1.0,1.0	-1	SE	NA	NA	NA	NA	113964926	113964994	113970170	113970222	NA	NA	NA	113967340	113967388
ENSG00000224596.9	ZMIZ1-AS1	chr10	-	NA	NA	NA	NA	NA	NA	123800	0,0,0	13,0,3	4,0,2	0,0,0	178	39	0.007267728	0.1739139	0.0,NA,0.0	1.0,NA,1.0	-1	SE	NA	NA	NA	NA	79065746	79065819	79067387	79067895	NA	NA	NA	79066447	79066586
ENSG00000186301.8	MST1P2	chr1	+	NA	NA	NA	NA	NA	NA	98836	0,0,1	12,6,3	2,6,0	0,0,0	154	39	0.006878677	0.1739139	0.0,0.0,0.078	1.0,1.0,NA	-0.974	SE	NA	NA	NA	NA	16646596	16646709	16646979	16647116	NA	NA	NA	16646786	16646901
ENSG00000246089.5	MCPH1-DT	chr8	-	NA	NA	NA	NA	NA	NA	106723	1,0,1	6,1,1	6,3,0	0,0,0	220	39	0.0149039	0.1899987	0.029,0.0,0.151	1.0,1.0,NA	-0.94	SE	NA	NA	NA	NA	6405596	6406371	6407081	6407142	NA	NA	NA	6406527	6406708
ENSG00000101104.13	PABPC1L	chr20	+	NA	NA	NA	NA	NA	NA	5105	0,1,0	1,4,6	1,5,7	0,0,1	101	39	0.01169432282	0.179183182	0.0,0.088,0.0	1.0,1.0,0.73	-0.881	SE	NA	NA	NA	NA	44938060	44938191	44958336	44959035	NA	NA	NA	44952642	44952704
ENSG00000163864.18	NMNAT3	chr3	-	NA	NA	NA	NA	NA	NA	43172	0,0,2	2,2,1	2,12,0	0,0,0	139	39	0.007502225	0.1739139	0.0,0.0,0.359	1.0,1.0,NA	-0.88	SE	NA	NA	NA	NA	139627615	139627764	139677704	139677718	NA	NA	NA	139637962	139638062
ENSG00000125388.20	GRK4	chr4	+	NA	NA	NA	NA	NA	NA	55033	4,1,1	3,4,3	5,4,3	0,0,0	135	39	0.005200907	0.1739139	0.278,0.067,0.088	1.0,1.0,1.0	-0.856	SE	NA	NA	NA	NA	2963570	2964122	2988726	2988839	NA	NA	NA	2984512	2984608
ENSG00000139151.16	PLCZ1	chr12	-	NA	NA	NA	NA	NA	NA	129753	0,4,0	2,1,6	13,9,2	0,0,0	169	39	0.002280668	0.1739139	0.0,0.48,0.0	1.0,1.0,1.0	-0.84	SE	NA	NA	NA	NA	18684129	18684279	18694909	18695044	NA	NA	NA	18688088	18688218
ENSG00000147168.14	IL2RG	chrX	-	NA	NA	NA	NA	NA	NA	125	0,0,0	0,2,1	0,2,6	0,0,1	247	39	0.004230817938	0.1374363104	NA,0.0,0.0	NA,1.0,0.486	-0.743	RI	NA	NA	NA	NA	71110155	71110295	71110503	71110688	NA	71110155	71110688	NA	NA
ENSG00000248429.5	GASK1B-AS1	chr4	+	NA	NA	NA	NA	NA	NA	40215	0,0,0	3,0,3	3,3,2	1,0,0	122	39	0.004875836	0.1739139	0.0,NA,0.0	0.49,1.0,1.0	-0.83	SE	NA	NA	NA	NA	158179660	158179735	158199087	158199486	NA	NA	NA	158198787	158198870
ENSG00000143127.13	ITGA10	chr1	-	NA	NA	NA	NA	NA	NA	65121	6,1,0	5,1,1	6,1,6	0,0,0	120	39	0.007528311	0.1739139	0.281,0.245,0.0	1.0,1.0,1.0	-0.825	SE	NA	NA	NA	NA	145893539	145893635	145896768	145896858	NA	NA	NA	145895630	145895711
ENSG00000226696.8	LENG8-AS1	chr19	-	NA	NA	NA	NA	NA	NA	6846	1,0,4	3,3,2	3,5,0	0,0,0	105	39	0.01664174818	0.1978645027	0.11,0.0,0.426	1.0,1.0,NA	-0.821	SE	NA	NA	NA	NA	54445283	54445514	54448164	54448602	NA	NA	NA	54447194	54447260
ENSG00000087274.19	ADD1	chr4	+	NA	NA	NA	NA	NA	NA	41404	0,0,0	0,1,2	0,1,5	0,0,1	114	39	0.004477836	0.1739139	NA,0.0,0.0	NA,1.0,0.631	-0.816	SE	NA	NA	NA	NA	2843952	2844024	2854853	2854950	NA	NA	NA	2853623	2853698
ENSG00000196724.13	ZNF418	chr19	-	NA	NA	NA	NA	NA	NA	6619	6,0,5	1,2,6	2,8,7	0,0,0	256	39	0.006415601787	0.1739139121	0.478,0.0,0.113	1.0,1.0,1.0	-0.803	SE	NA	NA	NA	NA	57930427	57930554	57935160	57935387	NA	NA	NA	57932429	57932646
ENSG00000213468.7	FIRRE	chrX	-	NA	NA	NA	NA	NA	NA	542	8,0,9	1,1,2	18,3,7	0,0,0	562	39	0.01141814491	0.178112682	0.357,0.0,0.238	1.0,1.0,1.0	-0.802	SE	NA	NA	NA	NA	131794323	131794466	131804971	131805037	NA	NA	NA	131795808	131796331
ENSG00000189144.15	ZNF573	chr19	-	NA	NA	NA	NA	NA	NA	17738	5,0,4	3,5,6	7,5,2	0,0,0	100	39	0.004930744	0.1739139	0.394,0.0,0.206	1.0,1.0,1.0	-0.8	SE	NA	NA	NA	NA	37740060	37740194	37759046	37759139	NA	NA	NA	37755200	37755261
ENSG00000196975.16	ANXA4	chr2	+	NA	NA	NA	NA	NA	NA	85030	0,7,0	7,1,1	4,3,4	0,0,0	162	39	0.00297946	0.1739139	0.0,0.628,0.0	1.0,1.0,1.0	-0.791	SE	NA	NA	NA	NA	69781519	69781574	69804532	69804627	NA	NA	NA	69803392	69803515
ENSG00000136689.20	IL1RN	chr2	+	NA	NA	NA	NA	NA	NA	88098	0,0,1	3,4,4	0,2,8	0,0,1	210	39	0.01347373	0.1840033	0.0,0.0,0.044	NA,1.0,0.598	-0.784	SE	NA	NA	NA	NA	113120065	113120128	113127688	113127740	NA	NA	NA	113121447	113121618
ENSG00000165630.15	PRPF18	chr10	+	13652845	13652929	13652845	13652882	13654352	13654427	9415	6,1,3	0,0,0	1,2,0	2,3,2	86	39	0.0003939828029	0.07495991852	1.0,1.0,1.0	0.185,0.232,0.0	0.861	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
