gene_symbol	ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_transcripts	n_differential_transcripts	n_overexpressed_transcripts	n_underexpressed_transcripts	n_exons	n_differential_exons	n_overexpressed_exons	n_underexpressed_exons	n_events	n_differential_events	n_overexpressed_events	n_underexpressed_events	Ediciones
AASS	ENSG00000008311.16	7685.11892	0.2081373457	0.06082524317	3.421890893	0.0006218726309	0.01109076065	27	1	0	1	60	0	0	0	38	0	0	0	2
ABCA2	ENSG00000107331.18	3482.841857	0.2061947502	0.06535816018	3.154843247	0.001605843586	0.02439177931	22	0	0	0	75	0	0	0	14	0	0	0	0
ABCB10	ENSG00000135776.5	4632.098697	0.2328941121	0.0638177347	3.649363507	0.000262890879	0.005405154523	3	0	0	0	16	0	0	0	13	0	0	0	0
ABCG8	ENSG00000143921.9	25.46288202	-2.302957935	0.5270832798	-4.3692487	1.25E-05	0.0003682854024	3	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	ENSG00000129968.17	6796.003817	0.3278502335	0.1001646337	3.273113687	0.001063696843	0.01740588189	8	0	0	0	19	0	0	0	9	0	0	0	0
ABR	ENSG00000159842.16	11526.94607	-0.379797066	0.05860860268	-6.480227281	9.16E-11	6.53E-09	36	0	0	0	73	0	0	0	11	0	0	0	0
ABTB2	ENSG00000166016.6	3410.937627	-0.3930282797	0.07444392476	-5.279521209	1.30E-07	5.70E-06	2	0	0	0	18	0	0	0	3	0	0	0	0
ACE	ENSG00000159640.17	49.7142342	-1.508122653	0.3906186435	-3.860856819	0.0001129901041	0.002597324782	21	0	0	0	0	0	0	0	0	0	0	0	0
ADAM17	ENSG00000151694.15	12117.95808	-0.3066194464	0.05466141028	-5.609431678	2.03E-08	1.03E-06	28	0	0	0	65	0	0	0	38	0	0	0	0
ADAM19	ENSG00000135074.16	25112.13205	-0.4366606608	0.05963770237	-7.3218894	2.45E-13	2.35E-11	5	0	0	0	29	0	0	0	38	0	0	0	3
ADAM8	ENSG00000151651.16	25748.04487	-0.1828073921	0.05444295922	-3.357778392	0.0007857157815	0.01340050648	11	0	0	0	47	0	0	0	57	0	0	0	0
ADAMTS1	ENSG00000154734.16	1015.939742	0.3738207251	0.0915366892	4.08383489	4.43E-05	0.001150167134	10	0	0	0	15	0	0	0	2	0	0	0	0
ADAMTS10	ENSG00000142303.14	147.7946997	-2.135267727	0.225977744	-9.449017807	3.42E-21	5.32E-19	14	1	0	1	0	0	0	0	0	0	0	0	0
ADAMTS15	ENSG00000166106.4	22666.3404	0.2219730934	0.05230504392	4.243818124	2.20E-05	0.0006140835093	1	0	0	0	8	0	0	0	3	0	0	0	0
ADAMTS6	ENSG00000049192.15	1547.739246	-0.3403060555	0.08750062572	-3.889184251	0.0001005817363	0.002345495161	8	0	0	0	39	0	0	0	17	1	1	0	0
ADAMTS9	ENSG00000163638.13	9441.613805	-1.114743979	0.08649743649	-12.88759556	5.29E-38	1.53E-35	10	1	0	1	52	0	0	0	31	0	0	0	0
ADAMTSL4	ENSG00000143382.16	468.5369899	0.3694718976	0.1253155764	2.94833179	0.00319493959	0.04218985951	8	1	1	0	31	0	0	0	7	0	0	0	0
ADAR	ENSG00000160710.18	58021.41321	1.955457306	0.05339333512	36.62362169	1.20E-293	4.09E-290	33	8	6	2	58	43	16	27	24	1	0	1	3
ADARB2	ENSG00000185736.16	6.114981427	-5.033967503	1.496362946	-3.364135364	0.0007678387299	0.01313324161	7	0	0	0	0	0	0	0	0	0	0	0	0
ADCY1	ENSG00000164742.16	82.94052851	-7.358170688	0.8752015013	-8.407401812	4.19E-17	5.09E-15	5	1	0	1	0	0	0	0	0	0	0	0	0
ADIRF-AS1	ENSG00000272734.1	715.2172468	0.372259183	0.1110553935	3.352013542	0.0008022609454	0.01365334585	4	0	0	0	11	0	0	0	0	0	0	0	2
ADORA1	ENSG00000163485.17	487.5404771	-1.993164692	0.1671670487	-11.92319125	8.96E-33	2.11E-30	9	0	0	0	5	0	0	0	1	0	0	0	0
ADORA2A	ENSG00000128271.22	1852.465322	-0.3666022828	0.07928936414	-4.623599732	3.77E-06	0.0001240229506	15	0	0	0	17	0	0	0	3	0	0	0	0
ADRA2A	ENSG00000150594.7	6.22192516	-6.052389864	1.558504903	-3.883458981	0.0001029809114	0.002387412384	1	1	0	1	0	0	0	0	0	0	0	0	0
ADRA2C	ENSG00000184160.8	69.30435854	1.044396473	0.3233129732	3.230295596	0.001236622932	0.0198267713	2	0	0	0	3	0	0	0	0	0	0	0	0
ADRB1	ENSG00000043591.6	87.55574997	-1.001505293	0.3131066386	-3.19860766	0.001380929609	0.02163062701	1	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1	ENSG00000196526.11	21785.99989	-0.1999123771	0.05685554888	-3.516145408	0.0004378611076	0.008346705454	10	0	0	0	34	1	1	0	18	0	0	0	0
AFF2	ENSG00000155966.14	8.090465183	-4.472020933	1.353915179	-3.303028877	0.0009564653797	0.01589825588	7	0	0	0	0	0	0	0	0	0	0	0	0
ago1	ENSG00000092847.14	4932.524422	-0.3236803334	0.07988889454	-4.051631147	5.09E-05	0.001302116862	8	0	0	0	30	0	0	0	12	0	0	0	1
AIM2	ENSG00000163568.16	830.4520131	-0.3665896886	0.09900480949	-3.702746266	0.0002132781644	0.004539224455	8	0	0	0	12	0	0	0	6	0	0	0	0
ALB	ENSG00000163631.17	23.84338311	-6.104857523	1.174898617	-5.196071759	2.04E-07	8.68E-06	20	1	0	1	0	0	0	0	0	0	0	0	0
ALDH16A1	ENSG00000161618.10	4295.770652	0.344933326	0.07191184717	4.796613348	1.61E-06	5.67E-05	8	0	0	0	32	0	0	0	25	0	0	0	0
ALDH3A1	ENSG00000108602.18	116.1406752	-1.111165574	0.2664124532	-4.170846973	3.03E-05	0.0008210577103	17	1	0	1	10	0	0	0	3	0	0	0	0
