Geneid	gene_symbol	Chr	Start	End	Strand	Length	logFC	P.Value	FDR
ENSG00000083845.9	RPS5	chr19	58387340	58388136	+	797	-2.695137634	5.08E-53	1.79E-47
ENSG00000160710.18	ADAR	chr1	154602078	154602203	-	126	-1.585892152	5.21E-46	9.19E-41
ENSG00000160710.18	ADAR	chr1	154582230	154584364	-	2135	-1.432913676	2.22E-45	2.61E-40
ENSG00000160710.18	ADAR	chr1	154601889	154602035	-	147	-1.527028377	1.02E-42	8.99E-38
ENSG00000160710.18	ADAR	chr1	154602056	154602077	-	22	-1.614145442	4.58E-42	3.23E-37
ENSG00000160710.18	ADAR	chr1	154602204	154602248	-	45	-1.539246019	6.02E-40	3.54E-35
ENSG00000160710.18	ADAR	chr1	154602249	154602384	-	136	-1.502480586	7.36E-40	3.71E-35
ENSG00000160710.18	ADAR	chr1	154602036	154602055	-	20	-1.604007691	1.12E-39	4.92E-35
ENSG00000160710.18	ADAR	chr1	154582111	154582229	-	119	-1.433933404	6.80E-37	2.66E-32
ENSG00000160710.18	ADAR	chr1	154602385	154602626	-	242	-1.343451827	1.38E-36	4.86E-32
ENSG00000160710.18	ADAR	chr1	154582107	154582110	-	4	-1.428210426	1.36E-27	4.35E-23
ENSG00000160710.18	ADAR	chr1	154582096	154582106	-	11	-1.434471992	1.39E-26	4.07E-22
ENSG00000266978.1	ENSG00000266978	chr19	10252268	10252827	-	560	1.027284599	3.06E-12	2.29E-08
ENSG00000165516.11	KLHDC2	chr14	49768154	49768167	+	14	2.510522094	5.64E-20	1.33E-15
ENSG00000083845.9	RPS5	chr19	58387284	58387288	+	5	0.8817731707	6.19E-19	1.31E-14
ENSG00000083845.9	RPS5	chr19	58387289	58387339	+	51	0.8709524501	6.29E-19	1.31E-14
ENSG00000134452.20	FBH1	chr10	5890248	5890279	+	32	1.748431011	2.83E-21	7.68E-17
ENSG00000160710.18	ADAR	chr1	154600204	154601040	-	837	-1.689826613	6.72E-19	1.32E-14
ENSG00000083845.9	RPS5	chr19	58394801	58394802	+	2	0.8595518642	2.80E-18	5.19E-14
ENSG00000266978.1	ENSG00000266978	chr19	10284968	10285108	-	141	-0.7573529784	2.62E-10	1.17E-06
ENSG00000126777.18	KTN1	chr14	55580210	55580253	+	44	2.207435538	3.90E-21	9.82E-17
ENSG00000083845.9	RPS5	chr19	58387275	58387283	+	9	0.8447393726	7.43E-17	1.25E-12
ENSG00000160710.18	ADAR	chr1	154607992	154608114	-	123	-1.113268722	3.07E-16	4.70E-12
ENSG00000136813.15	ECPAS	chr9	111484262	111484353	-	92	1.001392754	1.76E-17	3.11E-13
ENSG00000029153.15	BMAL2	chr12	27332854	27332919	+	66	2.02573583	1.05E-11	6.73E-08
ENSG00000125912.11	NCLN	chr19	3185936	3185956	+	21	1.82489844	1.72E-15	2.43E-11
ENSG00000091409.16	ITGA6	chr2	172427586	172427667	+	82	1.051375493	5.51E-16	8.09E-12
ENSG00000102225.17	CDK16	chrX	47218776	47219105	+	330	0.7862907191	1.57E-16	2.51E-12
ENSG00000083845.9	RPS5	chr19	58394803	58394804	+	2	0.8451229804	1.12E-14	1.46E-10
ENSG00000065613.15	SLK	chr10	103967140	103967200	+	61	1.645995739	6.17E-14	7.25E-10
ENSG00000160710.18	ADAR	chr1	154598586	154599446	-	861	-1.1835018	7.23E-14	8.22E-10
ENSG00000160710.18	ADAR	chr1	154627855	154627912	-	58	-1.248121038	9.31E-14	1.03E-09
ENSG00000141759.15	TXNL4A	chr18	79988503	79988536	-	34	1.855962788	1.67E-13	1.73E-09
ENSG00000154978.13	VOPP1	chr7	55572414	55572454	-	41	2.077243457	4.82E-14	5.86E-10
ENSG00000105722.10	ERF	chr19	42255108	42255128	-	21	2.147040897	3.40E-12	2.50E-08
